"biblio_id","author_id","level"
4641,2223,1
3662,2044,1
4645,1057,1
4579,2224,1
4275,10,1
2962,1795,1
4518,586,1
4546,2226,1
4544,2225,1
4406,2227,1
1975,1804,1
1238,2228,1
376,2229,1
4642,2230,1
3619,120,1
3509,1797,1
734,2231,1
637,1249,1
82,1508,1
83,972,1
4437,1057,1
4644,2232,1
1338,2233,1
1342,494,1
1343,331,1
1344,1892,1
1345,1723,1
1919,1890,1
1923,966,1
1924,2234,1
1925,2235,1
1926,1722,1
1928,773,1
2073,1056,1
2074,2233,1
2075,2236,1
3002,1724,1
3035,1791,1
4479,2144,1
3547,436,1
2467,2237,1
3661,1045,1
3665,2238,1
3668,1045,1
4617,120,1
3548,2123,1
3672,970,1
4646,2232,1
4647,1057,1
3907,1045,1
3922,2239,1
3911,427,1
3924,441,1
4100,1833,1
4155,2240,1
4121,2001,1
4648,1479,1
473,1567,1
56,366,1
725,964,1
148,2241,1
1334,322,1
2004,2242,1
3187,235,1
3203,366,1
2403,1038,1
2404,366,1
2405,723,1
2406,1009,1
2407,318,1
4656,331,1
4657,2243,1
4658,42,1
4659,701,1
349,1,1
350,1,1
1199,706,1
1199,2244,1
1199,2245,1
3327,231,1
1466,231,1
3595,1744,1
2490,2060,1
4267,560,1
4338,229,1
4337,2246,1
4474,828,1
4505,2247,1
4660,2248,1
4661,2249,1
4164,2192,1
342,2251,1
351,2252,1
357,1151,1
359,1398,1
352,167,1
167,484,1
3586,453,1
1195,757,1
1201,100,1
3078,458,1
1239,590,1
2968,1841,1
2964,462,3
2964,2253,3
4663,2254,1
3340,2255,1
2520,373,1
3328,2256,1
4664,2257,1
4666,2081,1
4667,2081,1
2283,1253,1
4125,1316,1
4218,1197,1
4168,2266,1
4397,1322,1
4153,2254,1
4143,2017,1
4308,470,1
829,457,1
4669,351,1
4670,583,1
4671,583,1
4673,583,1
4674,51,1
4675,2264,1
4676,2265,1
4112,73,1
4677,2062,1
4678,2065,1
4679,2083,1
4680,2050,1
4681,2081,1
4682,2065,1
4683,2069,1
4684,2054,1
4685,2086,1
4686,2077,1
4687,461,1
4688,459,1
4689,2258,1
4690,51,1
4691,2259,1
4692,817,1
4693,2260,1
4694,1733,1
4695,465,1
4696,2250,1
4697,1733,1
4698,2075,1
4699,2260,1
4700,2261,1
4700,2177,1
4701,2262,1
4702,230,1
4703,457,1
4704,341,1
3582,2081,1
3581,2081,1
3447,470,1
4705,2263,1
4672,583,1
4707,1779,1
4708,827,1
4709,2269,1
4122,73,1
4710,2267,1
4444,52,1
2268,560,1
671,460,1
683,469,1
682,468,1
703,479,1
4711,2268,1
4712,2268,1
4713,2074,1
4326,2068,1
663,412,1
4714,219,1
4715,219,1
4178,2005,1
4716,457,1
4709,2270,1
690,6,1
2301,1161,1
709,2271,1
676,461,1
662,454,1
2389,1686,1
4717,1686,1
3029,1686,1
4718,1686,1
4668,560,1
4668,2272,1
4719,2273,1
4720,548,1
4721,2274,1
675,463,1
4722,2127,1
4723,511,1
2465,1247,1
4724,2275,1
4725,2276,1
4726,1773,1
3435,1693,1
3433,1693,1
4727,1693,1
4728,1693,1
4729,2075,1
4730,2277,1
4730,1103,1
61,2135,1
4731,2278,1
3407,1681,1
1569,2279,1
1569,2280,1
689,2281,1
689,2282,1
4732,1394,1
4733,1394,1
4734,2283,1
4735,485,1
4736,480,1
4737,380,1
4738,2284,1
4739,2285,1
2764,441,1
4740,966,1
4741,511,1
4742,511,1
4743,2286,1
4744,2286,1
4745,2287,1
4746,2089,1
4747,2288,1
4456,2289,1
4748,1247,1
4748,2290,1
668,458,1
669,458,1
830,458,1
665,590,1
4749,1247,1
4750,2267,1
4752,2078,1
4751,149,1
4753,341,1
4754,590,1
4755,2089,1
