"author_id","author_name","author_year","authority_type","auth_list","input_date","last_update"
1,"Valade, Janet",,p,,2007-11-29,2007-11-29
2,"Siever, Ellen",,p,,2007-11-29,2007-11-29
3,"Love, Robert",,p,,2007-11-29,2007-11-29
4,"Robbins, Arnold",,p,,2007-11-29,2007-11-29
5,"Figgins, Stephen",,p,,2007-11-29,2007-11-29
6,"Weber, Aaron",,p,,2007-11-29,2007-11-29
7,"Kofler, Michael",,p,,2007-11-29,2007-11-29
8,"Kramer, David",,p,,2007-11-29,2007-11-29
9,"Raymond, Eric",,p,,2007-11-29,2007-11-29
10,"Fogel, Karl",,p,,2007-11-29,2007-11-29
11,"Douglas, Korry",,p,,2007-11-29,2007-11-29
12,"Douglas, Susan",,p,,2007-11-29,2007-11-29
13,"Shklar, Leon",,p,,2007-11-29,2007-11-29
14,"Rosen, Richard",,p,,2007-11-29,2007-11-29
15,"Woychowsky, Edmond",,p,,2007-11-29,2007-11-29
16,"Taylor, Arlene G.",,p,,2007-11-29,2007-11-29
17,"Stueart, Robert D.",,p,,2007-11-29,2007-11-29
18,"Moran, Barbara B.",,p,,2007-11-29,2007-11-29
19,"Morville, Peter",,p,,2007-11-29,2007-11-29
20,"Rosenfeld, Louis",,p,,2007-11-29,2007-11-29
21,"Robinson, Mark",,p,,2007-11-29,2007-11-29
22,"Bracking, Sarah",,p,,2007-11-29,2007-11-29
23,"Huffington, Arianna Stassinopoulos",,p,,2007-11-29,2007-11-29
24,"Hancock, Graham",,p,,2007-11-29,2007-11-29
25,S. WESLEY ARIARAJAH,,p,,2007-11-29,2007-11-29
26,"D. JAMES KENNEDY, JERRY NEWCOMBE",,p,,2007-11-29,2007-11-29
27,Dr. DAVID IMAN SANTOSO,,p,,2007-11-29,2007-11-29
28,TREMPER LONGMAN III,,p,,2007-11-29,2007-11-29
29,WILLIAM HENDRIKSEN,,p,,2007-11-29,2007-11-29
30,Dr. LUKAS TJANDRA,,p,,2007-11-29,2007-11-29
31,SUTJIPTO SUBENO,,p,,2007-11-29,2007-11-29
32,DEBBIE THEN,,p,,2007-11-29,2007-11-29
33,Kathleen Fischer,,p,,2007-11-29,2007-11-29
34,Carolyn Holderred Heggen,,p,,2007-11-29,2007-11-29
35,"",,p,,2007-11-29,2007-11-29
36,Gary Chapman,,p,,2007-11-29,2007-11-29
37,Patrick M.Morley,,p,,2007-11-29,2007-11-29
38,PAUL GUNADI,,p,,2007-11-29,2007-11-29
39,Graham Roberts,,p,,2007-11-29,2007-11-29
40,Purnawan Kristanto,,p,,2007-11-29,2007-11-29
41,Bill Crowder,,p,,2007-11-29,2007-11-29
42,Bruce Milne,,p,,2007-11-29,2007-11-29
43,DR. Nabeel T. Jabbour,,p,,2007-11-29,2007-11-29
44,ROGER HAMILTON,,p,,2007-11-29,2007-11-29
45,"DANIEL LUCAS LUKITO,Th.D.",,p,,2007-11-29,2007-11-29
46,LUKAS TJANDRA,,p,,2007-11-29,2007-11-29
47,DR. RICK CORNISH,,p,,2007-11-29,2007-11-29
48,DR. PETER WONGSO,,p,,2007-11-29,2007-11-29
49,DR. CAPRILI GUANGA,,p,,2007-11-29,2007-11-29
50,JOHN R.W. STOTT,,p,,2007-11-29,2007-11-29
51,JOHANIS UNDAP,,p,,2007-11-29,2007-11-29
52,H. NORMAN WRIGHT,,p,,2007-11-29,2007-11-29
53,RONALD J. SIDER,,p,,2007-11-29,2007-11-29
54,DR. JAMES DOBSON,,p,,2007-11-29,2007-11-29
55,DAVID F. WELLS,,p,,2007-11-29,2007-11-29
56,Dr. JENNY WONGKA,,p,,2007-11-29,2007-11-29
57,JUANITA & DALE RYAN,,p,,2007-11-29,2007-11-29
58,Mark Littleton,,p,,2007-11-29,2007-11-29
59,Angus N. Hunter,,p,,2007-11-29,2007-11-29
60,"DIANE LANGBERG,PHD",,p,,2007-11-29,2007-11-29
61,DOROTHY MASON WEYMANN,,p,,2007-11-29,2007-11-29
62,"KEVIN D. HUGGINS,PHD",,p,,2007-11-29,2007-11-29
63,JOSHUA HARRIS,,p,,2007-11-29,2007-11-29
64,GRACE SURYANI,,p,,2007-11-29,2007-11-29
65,MARK A. NOLL,,p,,2007-11-29,2007-11-29
66,JOY TO LEARN,,p,,2007-11-29,2007-11-29
67,OMF,,p,,2007-11-29,2007-11-29
68,Stephen Tong,,p,,2007-11-29,2007-11-29
69,Siku,,p,,2007-11-29,2007-11-29
70,Larine Mackenzie,,p,,2007-11-29,2007-11-29
71,William F.Beck,,p,,2007-11-29,2007-11-29
72,Kim Shin-Joong,,p,,2007-11-29,2007-11-29
73,Charles  Colson,,p,,2007-11-29,2007-11-29
